1,"Apollo Rooms","Manhattan, NY"
2,"Castle Garden","Manhattan, NY"
3,"Assembly Rooms, Chinese Buildings","Manhattan, NY"
4,"Apollo Saloon","Manhattan, NY"
5,"Niblo's Concert Room","Manhattan, NY"
6,"Niblo's Concert Saloon","Manhattan, NY"
7,"Metropolitan Hall","Manhattan, NY"
8,"Broadway Tabernacle","Manhattan, NY"
9,"Niblo's Garden","Manhattan, NY"
10,"Academy of Music","Manhattan, NY"
11,"Irving Hall","Manhattan, NY"
12,"Steinway Hall","Manhattan, NY"
13,"Chickering Hall","Manhattan, NY"
14,"Metropolitan Opera House (39th street)","Manhattan, NY"
15,"Unknown Venue","Manhattan, NY"
16,"Carnegie Hall","Manhattan, NY"
17,"Music Hall","Boston, MA"
18,"Carnegie Lyceum","Manhattan, NY"
19,"None","None"
20,"Willow Grove Park","Philadelphia, PA"
21,"Massey Hall","Toronto, CANADA"
22,"Teck Theater","Buffalo, NY"
23,"Coliseum","Peoria, IL"
24,"Odeon","St. Louis, MO"
25,"Boyd's Theatre","Omaha, NE"
26,"People's Church","St. Paul, MN"
27,"University Armory Hall","Minneapolis, MN"
28,"Drake University","Des Moines, IA"
29,"None","Kansas City, MO"
30,"Toler Auditorium","Wichita, KS"
31,"New Opera House","Oklahoma City, OK"
32,"Auditorium","Louisville, KY"
33,"Tomlinson Hall","Indianapolis, IN"
34,"Auditorium","Grand Rapids, MI"
35,"National Theatre","Washington, DC"
36,"New York Theatre Roof","Manhattan, NY"
37,"Brooklyn Institute of Arts and Sciences","Brooklyn, NY"
38,"None","Manhattan, NY"
39,"New Theatre","Manhattan, NY"
40,"Brooklyn Academy of Music","Brooklyn, NY"
41,"Academy of Music","Philadelphia, PA"
42,"Woolsey Hall","New Haven, CT"
43,"Court Square Theater","Springfield, MA"
44,"Infantry Hall","Providence, RI"
45,"Symphony Hall","Boston, MA"
46,"Soldiers Memorial Hall","Pittsburgh, PA"
47,"Gray's Armory","Cleveland, OH"
48,"Convention Hall","Buffalo, NY"
49,"Convention Hall","Rochester, NY"
50,"Wieting Opera House","Syracuse, NY"
51,"Majestic Theatre","Utica, NY"
52,"Century Theatre","Manhattan, NY"
53,"Parsons Theatre","Hartford, CT"
54,"Alexander Hall","Princeton, NJ"
55,"Krueger Auditorium","Newark, NJ"
56,"Lyric Theatre","Baltimore, MD"
57,"Harmanus Bleecker Hall","Albany, NY"
58,"Unknown Venue","Scranton, PA"
59,"Unknown Venue","Binghamton, NY"
60,"Unknown Venue","Schenectady, NY"
61,"Unknown Venue","Syracuse, NY"
62,"Unknown Venue","Rochester, NY"
63,"Unknown Venue","Detroit, MI"
64,"Unknown Venue","Chicago, IL"
65,"Unknown Venue","St. Louis, MO"
66,"Unknown Venue","Indianapolis, IN"
67,"Unknown Venue","Cincinnati, OH"
68,"Unknown Venue","Columbus, OH"
69,"Unknown Venue","Pittsburgh, PA"
70,"Aeolian Hall","Manhattan, NY"
71,"City Hall","Holyoke, MA"
72,"Waldorf-Astoria Hotel","Manhattan, NY"
73,"City Auditorium","Richmond, VA"
74,"Darling Theatre","Gloversville, NY"
75,"Burtis Auditorium","Auburn, NY"
76,"New York State Armory","Elmira, NY"
77,"Town Hall","Scranton, PA"
78,"Broad Street Theatre","Trenton, NJ"
79,"York Opera House","York, PA"
80,"Cambria Theater","Johnstown, PA"
81,"Memorial Hall","Columbus, OH"
82,"Auditorium","Canton, OH"
83,"High School Auditorium","New Castle, PA"
84,"Madison Square Garden","Manhattan, NY"
85,"Cooper Union","Manhattan, NY"
86,"John M. Greene Hall","Northampton, MA"
87,"Colonial Theater","Elmira, NY"
88,"Samuels Opera House","Jamestown, NY"
89,"Collingwood Opera House","Poughkeepsie, NY"
90,"Hotel Astor","Manhattan, NY"
91,"Irem Temple","Wilkes-Barre, PA"
92,"Columbia University - Gymnasium","Manhattan, NY"
93,"Detroit Armory","Detroit, MI"
94,"Municipal Auditorium","Springfield, MA"
95,"Music Hall","Troy, NY"
96,"City Opera House","Watertown, NY"
97,"None","Middletown, CT"
98,"Wells College","Aurora, NY"
99,"Bailey Hall","Ithaca, NY"
100,"Memorial Hall","Dayton, OH"
101,"Montclair Theatre","Montclair, NJ"
102,"Richardson Theater","Oswego, NY"
103,"Middlesex Theater","Middletown, CT"
104,"None","Boston, MA"
105,"Buckingham Hall","Waterbury, CT"
106,"Westover School","Middlebury, CT"
107,"Lumberg Theatre","Utica, NY"
108,"State Armory","Auburn, NY"
109,"Auditorium Hall","Canton, OH"
110,"Auditorium","Kent, OH"
111,"Hill Auditorium","Ann Arbor, MI"
112,"Arcadia Auditorium","Detroit, MI"
113,"The Coliseum","Toledo, OH"
114,"Court Theatre","Wheeling, WV"
115,"The Auditorium","Urbana, IL"
116,"Unknown Venue","Peoria, IL"
117,"Majestic Theatre","Dubuque, IA"
118,"College Auditorium","Cedar Falls, IA"
119,"Greene's Opera House","Cedar Rapids, IA"
120,"Penn College Auditorium","Oskaloosa, IA"
121,"The Coliseum","Des Moines, IA"
122,"Shubert Theater","Kansas City, MO"
123,"Normal Auditorium","Hays, KS"
124,"Bethany College Auditorium","Lindsborg, KS"
125,"Unknown Venue","Hutchinson, KS"
126,"Unknown Venue","Oklahoma City, OK"
127,"Unknown Venue","Shawnee, OK"
128,"High School Auditorium","Ardmore, OK"
129,"College of Industrial Arts","Denton, TX"
130,"Coliseum","Ft. Worth, TX"
131,"The Coliseum","Dallas, TX"
132,"Grand Opera House","Shreveport, LA"
133,"Cotton Palace Coliseum","Waco, TX"
134,"University Auditorium","Austin, TX"
135,"City Auditorium","Galveston, TX"
136,"City Auditorium","Houston, TX"
137,"Athenaeum","New Orleans, LA"
138,"Lyric Theatre","Mobile, AL"
139,"Grand Theater","Montgomery, AL"
140,"Bijou Theater","Birmingham, AL"
141,"Grand Opera House","Meridian, MS"
142,"Unknown Venue","Jackson, MS"
143,"Lyceum Theatre","Memphis, TN"
144,"Unknown Venue","Chattanooga, TN"
145,"Ryman Auditorium","Nashville, TN"
146,"Academy of Music","Roanoke, VA"
147,"Smith Opera House","Geneva, NY"
148,"Family Theater","Rome, NY"
149,"High School Auditorium","Kingston, NY"
150,"Academy of Music","Newburgh, NY"
151,"Liederkranz Hall","Manhattan, NY"
152,"High School Auditorium","East Orange, NJ"
153,"Park Theatre","Bridgeport, CT"
154,"City Hall","Torrington, CT"
155,"Auditorium","Meriden, CT"
156,"Foot Guard Hall","Hartford, CT"
157,"Terminal Auditorium","Toledo, OH"
158,"Grand Opera House","Tiffin, OH"
159,"Marvin Theater","Findlay, OH"
160,"Music Hall","Akron, OHIO"
161,"City Auditorium","Canton, OH"
162,"23rd Regiment Armory","Brooklyn, NY"
163,"Biltmore Hotel","Manhattan, NY"
164,"Camp Dix","Wrightstown, NJ"
165,"Ohio Wesleyan University","Delaware, OH"
166,"Auditorium Theatre","Newark, OH"
167,"YMCA Auditorium","Yaphank, NY"
168,"Van Curler Opera House","Schenectady, NY"
169,"Museum of Art","Cleveland, OH"
170,"Baptist Church","Granville, OH"
171,"The Armory","Akron, OHIO"
172,"Rajah Theatre","Reading, PA"
173,"Mechanics Hall","Worcester, MA"
174,"State Street Casino","Bridgeport, CT"
175,"Shubert-Majestic Theatre","Providence, RI"
176,"Hall of the Commercial High School","Brooklyn, NY"
177,"The Academy","Manchester, NH"
178,"Central High School","Washington, DC"
179,"Belasco Theatre","Washington, DC"
180,"Carnegie Music Hall","Pittsburgh, PA"
181,"Elmwood Hall","Buffalo, NY"
182,"Students' Auditorium","Poughkeepsie, NY"
183,"Palace Theatre","Ft. Wayne, IN"
184,"The Armory","Newark, NJ"
185,"Hippodrome","Manhattan, NY"
186,"Stuyvesant High School","Manhattan, NY"
187,"Colonial Theatre","Pittsfield, MA"
188,"Memorial Hall","Springfield, OH"
189,"Orchestra Hall","Detroit, MI"
190,"Powers Theater","Grand Rapids, MI"
191,"Park Theater","Youngstown, OH"
192,"New Masonic Hall","Cleveland, OH"
193,"High School Auditorium","Ashtabula, OH"
194,"Park Opera House","Erie, PA"
195,"The Armory","Niagara Falls, NY"
196,"Théâtre National de l'Opéra","Paris, FRANCE"
197,"None","Bordeaux, FRANCE"
198,"Salle Rameau","Lyon, FRANCE"
199,"None","Marseille, FRANCE"
200,"Grand Theatre de Monte Carlo","Monte Carlo, MONACO"
201,"Teatro Carlo Felice","Genoa, ITALY"
202,"Augusteo","Rome, ITALY"
203,"None","Florence, ITALY"
204,"None","Bologna, ITALY"
205,"None","Milan, ITALY"
206,"None","Turin, ITALY"
207,"Salle du Palais des fetes","Strasbourg, FRANCE"
208,"None","Metz, FRANCE"
209,"None","Nancy, FRANCE"
210,"Trocadéro","Paris, FRANCE"
211,"Theatre royale de la monnaie","Brussels, BELGIUM"
212,"Theatre royale d'Anvers","Antwerp, BELGIUM"
213,"Salle du conservatoire","Liege, BELGIUM"
214,"Grand Theatre de Gand","Ghent, BELGIUM"
215,"None","The Hague, NETHERLANDS"
216,"Concertgebouw","Amsterdam, NETHERLANDS"
217,"Queen's Hall","London, ENGLAND"
218,"Royal Albert Hall","London, ENGLAND"
219,"Lewisohn Stadium","Manhattan, NY"
220,"Mead Memorial Chapel","Middlebury, VT"
221,"Drury Auditorium","North Adams, MA"
222,"Poli Theater","Bridgeport, CT"
223,"Lexington Theatre","Manhattan, NY"
224,"Nixon's Academy of Music","Hagerstown, MD"
225,"Orpheum Theatre","Easton, PA"
226,"Gaiety Theatre","Utica, NY"
227,"Lyric Theatre","Allentown, PA"
228,"Strand Theatre","Cumberland, MD"
229,"High School Auditorium","Greensburg, PA"
230,"Civic Music league","Dayton, OH"
231,"Unknown Venue","Louisville, KY"
232,"Coliseum Theatre","Evansville, IN"
233,"Woodland Auditorium","Lexington, KY"
234,"Jefferson Theater","Birmingham, AL"
235,"Lyric Theater","Memphis, TN"
236,"Coliseum","Waco, TX"
237,"Fair Park Coliseum","Dallas, TX"
238,"None","Ft. Worth, TX"
239,"First Baptist Church","Ft. Worth, TX"
240,"Unknown Venue","El Paso, TX"
241,"Armory","Tucson, AZ"
242,"High School Auditorium","Phoenix, AZ"
243,"Spreckels Theatre","San Diego, CA"
244,"Philharmonic Auditorium","Los Angeles, CA"
245,"Greek Theatre","Berkeley, CA"
246,"Civic Auditorium","San Francisco, CA"
247,"Unknown Venue","Portland, OR"
248,"Arena Theater","Seattle, WA"
249,"Auditorium Theatre","Spokane, WA"
250,"Keylor Grand","Walla Walla, WA"
251,"L.D.S. Tabernacle","Le Grande, OR"
252,"Salt Lake Tabernacle","Salt Lake City, UT"
253,"The Armory","Grand Junction, CO"
254,"Burns Theater","Colorado Springs, CO"
255,"Auditorium","Denver, CO"
256,"City Auditorium","Pueblo, CO"
257,"The Forum","Wichita, KS"
258,"College Auditorium","Manhattan, KS"
259,"Robinson Gymnasium","Lawrence, KS"
260,"Lyceum Theatre","St. Joseph, MO"
261,"City Auditorium","Lincoln, NE"
262,"High School Auditorium","Sioux City, IA"
263,"Coliseum Theater","Sioux Falls, SD"
264,"Auditorium","Minneapolis, MN"
265,"Armory","Fargo, ND"
266,"City Auditorium","Grand Forks, ND"
267,"New Armory","Duluth, MN"
268,"Auditorium","Eau Claire, WI"
269,"Rothschild Park Pavilion","Wausau, WI"
270,"Lawrence Memorial Chapel","Appleton, WI"
271,"Milwaukee Auditorium","Milwaukee, WI"
272,"University Armory","Madison, WI"
273,"Gymnasium","Evanston, IL"
274,"Lincoln Square Theatre","Decatur, IL"
275,"Grand Opera","Jacksonville, IL"
276,"Memorial Hall","Lima, OH"
277,"Grand Theater","Tiffin, OH"
278,"Winter Garden","London, CANADA"
279,"Olympic Theatre","Watertown, NY"
280,"Théâtre St-Denis","Montreal, CANADA"
281,"Gymnasium","Burlington, VT"
282,"State Armory","New London, CT"
283,"157 E. 74th Street","Manhattan, NY"
284,"Great Hall, City College of New York","Manhattan, NY"
285,"Jolson's 59th St. Theatre","Manhattan, NY"
286,"Plainfield High School","Plainfield, NJ"
287,"Palace Theatre","Bridgeport, CT"
288,"Webster Hall","Hanover, NH"
289,"Fulton Opera House","Lancaster, PA"
290,"Syria Mosque","Pittsburgh, PA"
291,"State Armory","Stamford, CT"
292,"Albee Theatre","Providence, RI"
293,"Poli's Theatre","Washington, DC"
294,"None","Washington, DC"
295,"Mecca Auditorium","Manhattan, NY"
296,"Liberty High School","Bethlehem, PA"
297,"Market Auditorium","Wheeling, WV"
298,"Strand Theatre","Reading, PA"
299,"Warner Theater","Manhattan, NY"
300,"Sesquicentennial Auditorium","Philadelphia, PA"
301,"Rhode Island Auditorium","Providence, RI"
302,"Mt. Holyoke College","Holyoke, MA"
303,"State Armory","Salem, MA"
304,"Majestic Theater","Harrisburg, PA"
305,"Town Hall","Manhattan, NY"
306,"Monroe High School","Bronx, NY"
307,"Girls' Commercial HS","Brooklyn, NY"
308,"Murat Theatre","Indianapolis, IN"
309,"Symphony Center (Orchestra Hall)","Chicago, IL"
310,"Public Hall","Cleveland, OH"
311,"New Haven Arena","New Haven, CT"
312,"The Mosque","Richmond, VA"
313,"Mosque Theatre","Newark, NJ"
314,"Constitution Hall","Washington, DC"
315,"Eastman Theatre","Rochester, NY"
316,"Tonhalle","Zurich, SWITZERLAND"
317,"Teatro alla Scala","Milan, ITALY"
318,"Teatro Regio","Turin, ITALY"
319,"Politeama","Florence, ITALY"
320,"Tonhalle","Munich, GERMANY"
321,"Staatsoper","Vienna, AUSTRIA"
322,"Varosy Theater","Budapest, HUNGARY"
323,"Lucerna-Saal","Prague, CZECH REPUBLIC"
324,"Gewandhaus","Leipzig, GERMANY"
325,"Sachsische Staatstheater Opernhaus","Dresden, GERMANY"
326,"Philharmonie","Berlin, GERMANY"
327,"Palais des Beaux-Arts","Brussels, BELGIUM"
328,"Bushnell Auditorium","Hartford, CT"
329,"Great Hall - City College","Manhattan, NY"
330,"Pickwick Theatre","Greenwich, CT"
331,"Grand Masonic Lodge","Manhattan, NY"
332,"Metropolitan Theatre","Providence, RI"
333,"Carnegie Chamber Music Hall at Carnegie Hall","Manhattan, NY"
334,"Spa Theatre","Saratoga Springs, NY"
335,"McCarter Theatre","Princeton, NJ"
336,"Silvermine Festival","Norwalk, CT"
337,"Hotel Plaza","Manhattan, NY"
338,"Hall of Music World's Fair Grounds","Queens, NY"
339,"Masonic Temple","Scranton, PA"
340,"Museum of Art","Toledo, OH"
341,"Central High School","Kalamazoo, MI"
342,"Auditorium Theatre","Chicago, IL"
343,"Palace Theatre","Hamilton, CANADA"
344,"Capitol Theatre","Ottawa, CANADA"
345,"Proctor High School Auditorium","Utica, NY"
346,"William Penn High School","York, PA"
347,"Saginaw Auditorium","Saginaw, MI"
348,"Prudden Auditorium","Lansing, MI"
349,"Shrine Auditorium","Ft. Wayne, IN"
350,"Music Hall","Cincinnati, OH"
351,"New York State Amphitheatre","Queens, NY"
352,"Plaza Hotel","Manhattan, NY"
353,"Camp Kilmer","New Brunswick, NJ"
354,"U.S.S. Prairie State","Manhattan, NY"
355,"Mitchel Field","Hempstead, NY"
356,"Fort Monmouth","Red Bank, NJ"
357,"High School","Poughkeepsie, NY"
358,"Municipal Auditorium","Kingston, NY"
359,"Hunter College","Manhattan, NY"
360,"NY City Center","Manhattan, NY"
361,"Halloran Hospital","Staten Island, NY"
362,"War Department Theatre","West Point, NY"
363,"Whithorne Residence","LYME, CT"
364,"High School Auditorium","Norwalk, CT"
365,"Memorial Auditorium","Worcester, MA"
366,"Unknown Venue","Norfolk, VA"
367,"Unknown Venue","Richmond, VA"
368,"Unknown Venue","Raleigh, NC"
369,"Page Auditorium","Durham, NC"
370,"Converse Auditorium","Spartanburg, SC"
371,"Unknown Venue","Atlanta, GA"
372,"Municipal Auditorium","Atlanta, GA"
373,"Alumni Memorial Auditorium","Knoxville, TN"
374,"Municipal Auditorium","Birmingham, AL"
375,"Sidney Lanier Auditorium","Montgomery, AL"
376,"Unknown Venue","New Orleans, LA"
377,"Auditorium","Memphis, TN"
378,"Jefferson County Armory","Louisville, KY"
379,"Kiel Opera House","St. Louis, MO"
380,"Masonic Auditorium","Detroit, MI"
381,"Municipal Auditorium","Charleston, WV"
382,"Kleinhans Music Hall","Buffalo, NY"
383,"Lincoln Auditorium","Syracuse, NY"
384,"Music Hall","Cleveland, OH"
385,"Stock Pavilion","Madison, WI"
386,"College Auditorium","East Lansing, MI"
387,"Stanley Theater","Utica, NY"
388,"City Hall Auditorium","Portland, ME"
389,"Unknown Venue","White Plains, NY"
390,"Columbia Music Festival","Columbia, SC"
391,"Unknown Venue","Spartanburg, SC"
392,"American Legion Auditorium","Roanoke, VA"
393,"Indiana University Auditorium","Bloomington, IN"
394,"Sports Arena","Toledo, OH"
395,"Roxy Theatre","Manhattan, NY"
396,"Rutgers University","New Brunswick, NJ"
397,"Usher Hall","Edinburgh, SCOTLAND"
398,"Glen Cove High School","Glen Cove, NY"
399,"R.P.I. Field House","Troy, NY"
400,"Ebbets Field","Brooklyn, NY"
401,"Junior (North) High School","Great Neck, NY"
402,"Roslyn High School","Roslyn, NY"
403,"Prospect Heights High School","Brooklyn, NY"
404,"Richmond Hill High School","Richmond Hill, NY"
405,"Junior High School (R.K. Toaz)","Huntington, NY"
406,"Julia Richman High School","Manhattan, NY"
407,"Dewitt Clinton High School","Bronx, NY"
408,"Salve Regina College","Newport, RH"
409,"High School Gymnasium","Manhasset, NY"
410,"Keith-Albee Theatre","Huntington, WV"
411,"Unknown Venue","Lexington, KY"
412,"Clemson College","Clemson, SC"
413,"Township Auditorium","Columbia, SC"
414,"Armory Auditorium","Charlotte, NC"
